stage,epoch,train_loss,lab_f1,lab_acc,field_f1,field_acc,minutes
linear-probe,1,1.5944209428267044,0.915110513515024,0.925,0.6001961714837586,0.6229508196721312,4.399880890051524
fine-tune,1,1.072306795987216,0.9726118686401511,0.9764627659574469,0.6668958629687153,0.6870990734141126,4.684965042273204
fine-tune,2,0.8976715642755682,0.9813606159027692,0.9825797872340426,0.6520177440042955,0.6774768353528154,4.673755212624868
fine-tune,3,0.8161607776988636,0.9857079821035601,0.9875,0.6431336771686906,0.66535994297933,4.67238544623057
fine-tune,4,0.7674553888494318,0.9886869940017454,0.9894946808510638,0.6711459436180526,0.6942266571632216,4.6401712656021115
fine-tune,5,0.7314227849786932,0.9884241610768426,0.9906914893617021,0.6894244797909511,0.7091945830363506,4.641999181111654
fine-tune,6,0.7062550492720171,0.993503280705994,0.9940159574468085,0.7198423784247385,0.7462580185317177,4.670064910252889
fine-tune,7,0.6888274036754262,0.9943489885298487,0.9946808510638298,0.7140212335875867,0.744832501781896,4.647329584757487
fine-tune,8,0.6820425692471591,0.9943238435828542,0.9948138297872341,0.7199295619251567,0.7483962936564504,4.64207595984141
