,precision,recall,f1-score,support
cauliflower::Downy mildew,0.75,0.9,0.8181818181818182,10.0
cauliflower::Healthy,0.9069767441860465,0.8571428571428571,0.8813559322033898,182.0
cauliflower::Insect pest damage,0.7692307692307693,0.9090909090909091,0.8333333333333334,99.0
cherry::Healthy,0.928,0.9666666666666667,0.9469387755102041,120.0
cherry::Leaf spot,0.5813953488372093,0.7142857142857143,0.6410256410256411,35.0
cherry::Powdery mildew,0.9473684210526315,0.9473684210526315,0.9473684210526315,133.0
chilli::Cercospora leaf spot,0.8823529411764706,0.75,0.8108108108108109,20.0
chilli::Healthy,0.8,0.8,0.8,10.0
chilli::Mites and thrips (pest),0.7272727272727273,1.0,0.8421052631578947,16.0
chilli::Nutrient deficiency,0.7142857142857143,0.625,0.6666666666666666,16.0
chilli::Powdery mildew,1.0,1.0,1.0,16.0
citrus_orange::Black spot,0.8064516129032258,0.8928571428571429,0.847457627118644,28.0
citrus_orange::Citrus canker,0.8333333333333334,0.9,0.8653846153846154,100.0
citrus_orange::Citrus greening (HLB),0.9857142857142858,0.9355932203389831,0.96,295.0
citrus_orange::Dieback,1.0,1.0,1.0,35.0
citrus_orange::Greasy spot,1.0,1.0,1.0,14.0
citrus_orange::Healthy,0.9375,1.0,0.967741935483871,15.0
citrus_orange::Leaf miner (pest),1.0,1.0,1.0,15.0
citrus_orange::Mealybug (pest),1.0,1.0,1.0,3.0
citrus_orange::Mite damage,1.0,1.0,1.0,15.0
citrus_orange::Nutrient deficiency,1.0,1.0,1.0,54.0
citrus_orange::Powdery mildew,1.0,1.0,1.0,46.0
citrus_orange::Scale insect (pest),0.95,1.0,0.9743589743589743,19.0
citrus_orange::Shot hole,1.0,1.0,1.0,43.0
citrus_orange::Spiny whitefly (pest),1.0,1.0,1.0,2.0
coconut::Bud root dropping,1.0,1.0,1.0,5.0
coconut::Bud rot,1.0,1.0,1.0,3.0
coconut::Grey leaf spot,1.0,1.0,1.0,33.0
coconut::Leaf rot,1.0,1.0,1.0,15.0
coconut::Stem bleeding,1.0,1.0,1.0,12.0
coffee::Cercospora leaf spot,1.0,0.875,0.9333333333333333,24.0
coffee::Healthy,1.0,0.6666666666666666,0.8,9.0
coffee::Leaf miner (pest),1.0,1.0,1.0,38.0
coffee::Leaf rust,0.9900990099009901,0.9900990099009901,0.9900990099009901,101.0
coffee::Phoma leaf spot,0.9830508474576272,1.0,0.9914529914529915,58.0
corn_maize::Common rust,0.9674418604651163,0.9585253456221198,0.9629629629629629,217.0
corn_maize::Common smut,0.9545454545454546,0.9545454545454546,0.9545454545454546,44.0
corn_maize::Curvularia leaf spot,0.7073170731707317,0.9666666666666667,0.8169014084507042,30.0
corn_maize::Fall armyworm (pest),0.98989898989899,0.9751243781094527,0.9824561403508771,201.0
corn_maize::Grasshopper (pest),1.0,1.0,1.0,95.0
corn_maize::Gray leaf spot,0.8303571428571429,0.9029126213592233,0.8651162790697674,103.0
corn_maize::Healthy,0.9770992366412213,0.973384030418251,0.9752380952380952,263.0
corn_maize::Leaf beetle (pest),0.9923664122137404,0.9923664122137404,0.9923664122137404,131.0
corn_maize::Northern leaf blight,0.9676258992805755,0.9057239057239057,0.9356521739130435,297.0
cotton::Alternaria leaf spot,1.0,1.0,1.0,23.0
cotton::Bacterial blight,1.0,1.0,1.0,53.0
cotton::Fusarium wilt,1.0,0.9444444444444444,0.9714285714285714,18.0
cotton::Healthy,1.0,1.0,1.0,10.0
cotton::Herbicide damage,1.0,1.0,1.0,40.0
cotton::Leaf curl virus,1.0,1.0,1.0,57.0
cotton::Leaf reddening,1.0,0.9736842105263158,0.9866666666666667,76.0
cotton::Leaf variegation,1.0,1.0,1.0,16.0
cotton::Leafhopper / jassid (pest),0.9230769230769231,1.0,0.96,24.0
cotton::Verticillium wilt,0.9375,1.0,0.967741935483871,15.0
cowpea::Bacterial wilt,1.0,1.0,1.0,12.0
cowpea::Healthy,1.0,1.0,1.0,11.0
cowpea::Mosaic virus,1.0,1.0,1.0,13.0
cowpea::Septoria leaf spot,1.0,1.0,1.0,14.0
cucumber::Angular leaf spot,0.7317073170731707,0.8333333333333334,0.7792207792207793,36.0
cucumber::Anthracnose,0.9663865546218487,0.9663865546218487,0.9663865546218487,119.0
cucumber::Bacterial wilt,0.9813084112149533,0.9459459459459459,0.963302752293578,111.0
cucumber::Belly rot (fruit),1.0,1.0,1.0,33.0
cucumber::Downy mildew,0.9239130434782609,0.9770114942528736,0.9497206703910615,87.0
cucumber::Gummy stem blight,0.96875,0.9841269841269841,0.9763779527559056,63.0
cucumber::Healthy,0.9395604395604396,0.9095744680851063,0.9243243243243243,188.0
cucumber::Powdery mildew,0.54,0.8181818181818182,0.6506024096385542,33.0
cucumber::Pythium fruit rot,1.0,1.0,1.0,81.0
custard_apple::Anthracnose,0.967741935483871,0.9375,0.9523809523809523,32.0
custard_apple::Black canker,0.9891304347826086,0.9578947368421052,0.9732620320855615,95.0
custard_apple::Diplodia fruit rot,1.0,1.0,1.0,60.0
custard_apple::Fruit spot,0.8823529411764706,0.967741935483871,0.9230769230769231,31.0
custard_apple::Leaf spot,0.96875,1.0,0.9841269841269841,31.0
custard_apple::Mealybug (pest),0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0
finger_millet_ragi::Downy mildew,0.8823529411764706,1.0,0.9375,15.0
finger_millet_ragi::Healthy,1.0,0.9230769230769231,0.96,13.0
finger_millet_ragi::Mottle streak virus,0.7142857142857143,0.9090909090909091,0.8,11.0
finger_millet_ragi::Smut,1.0,1.0,1.0,9.0
finger_millet_ragi::Wilt,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
garlic::Healthy,0.8484848484848485,0.875,0.8615384615384616,32.0
garlic::Leaf blight,0.5333333333333333,0.38095238095238093,0.4444444444444444,21.0
garlic::Rust,0.782608695652174,0.9,0.8372093023255814,20.0
ginger::Healthy,0.6666666666666666,0.7692307692307693,0.7142857142857143,26.0
ginger::Leaf spot,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
ginger::Sheath blight,0.3333333333333333,0.38461538461538464,0.35714285714285715,13.0
grape::Bacterial leaf spot,0.8125,1.0,0.896551724137931,13.0
grape::Black rot,0.9402985074626866,0.9264705882352942,0.9333333333333333,68.0
grape::Downy mildew,0.9789473684210527,0.9587628865979382,0.96875,194.0
grape::Esca (black measles),0.9916666666666667,1.0,0.99581589958159,119.0
grape::Healthy,0.9411764705882353,0.9411764705882353,0.9411764705882353,102.0
grape::Isariopsis leaf spot,1.0,1.0,1.0,120.0
grape::Leafroll virus,0.6538461538461539,0.8095238095238095,0.723404255319149,21.0
grape::Powdery mildew,0.9833333333333333,1.0,0.9915966386554622,59.0
groundnut::Alternaria leaf spot,1.0,1.0,1.0,21.0
groundnut::Healthy,0.8627450980392157,0.9312169312169312,0.8956743002544529,189.0
groundnut::Nutrient deficiency,0.819672131147541,1.0,0.9009009009009009,50.0
groundnut::Rosette virus,1.0,0.9166666666666666,0.9565217391304348,12.0
groundnut::Rust,0.9772727272727273,1.0,0.9885057471264368,43.0
groundnut::Tikka leaf spot,0.9428571428571428,0.8587360594795539,0.8988326848249028,269.0
guava::Anthracnose,0.8135593220338984,0.8135593220338984,0.8135593220338984,59.0
guava::Canker,0.6923076923076923,0.7714285714285715,0.7297297297297297,35.0
guava::Dot (algal spot),0.7222222222222222,0.5777777777777777,0.6419753086419753,45.0
guava::Fruit mummification,0.7692307692307693,0.8333333333333334,0.8,12.0
guava::Healthy,0.9473684210526315,0.8888888888888888,0.9171974522292994,81.0
guava::Phytophthora fruit rot,0.9473684210526315,1.0,0.972972972972973,18.0
guava::Red rust,0.82,0.8723404255319149,0.845360824742268,47.0
guava::Scab,0.8529411764705882,0.9354838709677419,0.8923076923076924,31.0
guava::Styler end rot,0.8367346938775511,0.9111111111111111,0.8723404255319149,45.0
jamun::Bacterial spot,1.0,1.0,1.0,30.0
jamun::Brown blight,1.0,1.0,1.0,43.0
jamun::Dry leaf,0.9649122807017544,1.0,0.9821428571428571,55.0
jamun::Healthy,1.0,1.0,1.0,31.0
jamun::Powdery mildew,1.0,1.0,1.0,31.0
jamun::Sooty mould,1.0,1.0,1.0,3.0
jute::Dieback,1.0,1.0,1.0,45.0
jute::Healthy,0.9736842105263158,1.0,0.9866666666666667,37.0
jute::Mosaic virus,1.0,1.0,1.0,31.0
jute::Pest-holed leaf,1.0,0.9777777777777777,0.9887640449438202,45.0
jute::Stem rot,0.9761904761904762,1.0,0.9879518072289156,41.0
lemon::Anthracnose,0.9166666666666666,1.0,0.9565217391304348,11.0
lemon::Bacterial blight,1.0,1.0,1.0,14.0
lemon::Citrus canker,1.0,1.0,1.0,20.0
lemon::Dry leaf,1.0,1.0,1.0,22.0
lemon::Healthy,0.9838709677419355,1.0,0.991869918699187,61.0
lemon::Leaf curl virus,0.96,0.9795918367346939,0.9696969696969697,49.0
lemon::Nutrient deficiency,1.0,1.0,1.0,23.0
lemon::Sooty mould,1.0,0.9642857142857143,0.9818181818181818,56.0
lemon::Spider mites (pest),1.0,1.0,1.0,9.0
lentil::Ascochyta blight,0.8633879781420765,0.8633879781420765,0.8633879781420765,183.0
lentil::Healthy,0.8135593220338984,0.803347280334728,0.8084210526315789,239.0
lentil::Powdery mildew,0.8654970760233918,0.8554913294797688,0.8604651162790697,173.0
lentil::Rust,0.918918918918919,0.9444444444444444,0.9315068493150684,180.0
malabar_spinach::Anthracnose leaf spot,0.84375,0.84375,0.84375,32.0
malabar_spinach::Healthy,0.85,0.8095238095238095,0.8292682926829268,21.0
malabar_spinach::Mite damage,0.8823529411764706,0.9375,0.9090909090909091,32.0
mango::Anthracnose,1.0,1.0,1.0,57.0
mango::Bacterial canker,1.0,1.0,1.0,62.0
mango::Cutting weevil (pest),1.0,1.0,1.0,29.0
mango::Die back,1.0,1.0,1.0,73.0
mango::Gall midge (pest),0.9795918367346939,1.0,0.9896907216494846,48.0
mango::Healthy,0.9333333333333333,1.0,0.9655172413793104,14.0
mango::Powdery mildew,1.0,1.0,1.0,30.0
mango::Sooty mould,1.0,1.0,1.0,43.0
moringa::Bacterial leaf spot,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
moringa::Cercospora leaf spot,0.9622641509433962,0.9807692307692307,0.9714285714285714,52.0
moringa::Healthy,1.0,0.9863013698630136,0.993103448275862,73.0
moringa::Yellowing leaf,0.9655172413793104,0.9655172413793104,0.9655172413793104,87.0
okra::Alternaria leaf spot,0.6153846153846154,1.0,0.7619047619047619,8.0
okra::Cercospora leaf spot,0.6666666666666666,0.5,0.5714285714285714,4.0
okra::Downy mildew,0.8,0.6666666666666666,0.7272727272727273,6.0
okra::Healthy,0.9859154929577465,0.9722222222222222,0.9790209790209791,72.0
okra::Leaf curl virus,1.0,0.3333333333333333,0.5,3.0
okra::Phyllosticta leaf spot,0.8,0.6666666666666666,0.7272727272727273,6.0
