,precision,recall,f1-score,support
wheat::Brown (leaf) rust,0.9562841530054644,0.9510869565217391,0.9536784741144414,184.0
wheat::Common root rot,0.7764705882352941,0.88,0.825,75.0
wheat::Fusarium head blight,0.9646017699115044,0.9819819819819819,0.9732142857142857,111.0
wheat::Healthy,0.972972972972973,0.972972972972973,0.972972972972973,148.0
wheat::Leaf blight,0.524390243902439,0.6825396825396826,0.593103448275862,63.0
wheat::Mite (pest),0.8804347826086957,0.7941176470588235,0.8350515463917526,102.0
wheat::Powdery mildew,0.951048951048951,0.9577464788732394,0.9543859649122807,142.0
wheat::Septoria blotch,0.8181818181818182,0.863013698630137,0.84,73.0
wheat::Smut,0.9148936170212766,0.8431372549019608,0.8775510204081632,51.0
wheat::Stem fly (pest),1.0,0.9473684210526315,0.972972972972973,19.0
wheat::Tan spot,0.4406779661016949,0.3561643835616438,0.3939393939393939,73.0
wheat::Yellow (stripe) rust,0.975,0.975,0.975,240.0
accuracy,0.9292925727195708,0.9292925727195708,0.9292925727195708,0.9292925727195708
macro avg,0.9065807908951138,0.9194980170542429,0.9092549596848135,28328.0
weighted avg,0.9322460476306507,0.9292925727195708,0.929424169263357,28328.0
